index,open,high,low,close
2019/11/12,8736.17,8867.19,8567.15,8764.95
2019/11/13,8764.95,8838.18,8708.5,8753.01
2019/11/14,8753.02,8793.25,8563.25,8651.15
2019/11/15,8651.15,8769.15,8380,8453.89
2019/11/17,8547.21,8630.75,8523.25,8555.38
2019/11/18,8547.21,8630.75,8033.09,8218.67
2019/11/19,8218.44,8253.37,8000.39,8108.09
2019/11/20,8107.8,8223.39,8031.28,8087.79
2019/11/21,8087.79,8125.45,7407.48,7598.7
2019/11/22,7598.6,7713.49,6798.13,7343.85
2019/11/24,7084.55,7111.06,7002.37,7050
2019/11/25,7084.55,7374.59,6530.95,7214.3
2019/11/26,7214.3,7340.46,7028.03,7113.51
2019/11/27,7113.52,7672.95,6854.44,7550.08
2019/11/28,7550.08,7658.29,7425.95,7564.94
2019/11/29,7564.94,7867.53,7376.53,7710.34
2019/12/1,7323.54,7387.05,7286.91,7381.45
2019/12/2,7323.54,7450.09,7166.4,7319.36
2019/12/3,7319.36,7412.88,7245.3,7329.85
2019/12/4,7329.86,7774.69,7091.84,7187.39
2019/12/5,7187.36,7489,7160.34,7379.66
2019/12/6,7379.68,7603.99,7315.43,7469.48
2019/12/8,7539.02,7567.63,7514.34,7546.9
2019/12/9,7539.02,7654.02,7286.8,7356.78
2019/12/10,7356.78,7402.58,7167.63,7222.09
2019/12/11,7222.09,7279.42,7135.02,7191.95
2019/12/12,7191.95,7292.28,7083.38,7200.62
2019/12/13,7200.62,7300.11,7181.03,7240.62
2019/12/15,7100.29,7137.5,7091.75,7120.76
2019/12/16,7100.29,7154.45,6831.45,6876.58
2019/12/17,6876.58,6948.58,6576.39,6616.45
2019/12/18,6616.45,7226.95,6436.5,7131.58
2019/12/19,7131.58,7442.87,7047.29,7157.05
2019/12/20,7156.45,7221.23,7079.65,7198.73
2019/12/22,7315.36,7459.75,7315.36,7407.05
2019/12/23,7315.36,7689.15,7291.81,7319.77
2019/12/24,7319.77,7423.84,7161.52,7246.81
2019/12/25,7246.81,7267.58,7119.37,7211.27
2019/12/26,7211.27,7427.19,7168.48,7189.08
2019/12/27,7189.08,7252.5,7068.11,7219.5
2019/12/29,7397.66,7524.5,7355.07,7388.48
2019/12/30,7397.66,7524.5,7203.33,7243.35
2019/12/31,7243.35,7299.86,7116.03,7158.27
2020/1/1,7158.22,7236.37,7151.89,7216.21
2020/1/2,7216.23,7246.71,6912.96,6960.58
2020/1/3,6960.58,7400.72,6859.44,7269.82
2020/1/5,7462.59,7464.56,7363.55,7363.55
2020/1/6,7462.59,7604.5,7317.78,7575.93
2020/1/7,7576.02,8192.21,7575.42,8021.36
2020/1/8,8021.36,8462.1,7874.81,8004.26
2020/1/9,8004.26,8108.37,7748.81,7786.84
2020/1/10,7786.84,8131,7678.09,8043.69
2020/1/11,8043.69,8287.25,7986.02,8101.99
2020/1/12,8101.99,8184.4,7963.18,8099.1
2020/1/13,8099.1,8194,8044.77,8131.06
2020/1/14,8131.06,8854.1,8099.88,8736.16
2020/1/15,8736.2,8896.13,8555.67,8821.69
2020/1/16,8821.69,8859.88,8581.67,8678.8
2020/1/17,8678.8,9007.25,8664.77,8906.32
2020/1/18,8906.8,8976.51,8805.75,8914.28
2020/1/19,8914.28,9181.63,8485.03,8718.75
2020/1/20,8718.75,8742.81,8494.51,8671.68
2020/1/21,8672.05,8771.31,8488.84,8721.88
2020/1/22,8721.88,8792.56,8572.54,8640.65
2020/1/23,8640.65,8664.36,8281,8382.87
2020/1/24,8382.87,8426.22,8380.2,8406.05
2020/1/28,8912.9,9183.17,8876.01,9042.56
2020/1/29,9042.56,9429.18,9039.15,9354.7
2020/1/30,9354.7,9564.52,9185.33,9552.18
2020/1/31,9552.18,9562.55,9199.36,9354.29
2020/2/1,9354.31,9456.58,9287.44,9358.74
2020/2/2,9358.74,9469.7,9150.69,9443.43
2020/2/3,9443.43,9608.03,9222.94,9274.19
2020/2/4,9273.56,9346.65,9080.33,9139.77
2020/2/5,9139.83,9765.88,9129.78,9687.28
2020/2/6,9687.28,9854.47,9530.87,9737.36
2020/2/7,9737.36,9868.16,9655.23,9744.46
2020/2/8,9744.46,9942.7,9660.82,9925.58
2020/2/9,9925.58,10174.78,9851.87,10077.63
2020/2/10,10077.63,10194.88,9749.78,9866.28
2020/2/11,9866.29,10386.53,9712.47,10236.53
2020/2/12,10236.53,10481.16,10219.04,10389.08
2020/2/13,10389.08,10500.6,10082.44,10180.13
2020/2/14,10180.13,10391.43,10102.26,10344.55
2020/2/15,10344.55,10396.91,9778.38,9924.7
2020/2/16,9924.7,10046.46,9638.13,9773.09
2020/2/17,9773.09,9998.92,9475.5,9646.95
2020/2/18,9646.95,10278.1,9615.32,10154.96
2020/2/19,10154.96,10299.59,9327.29,9612.05
2020/2/20,9612.07,9704.22,9400.29,9610.56
2020/2/21,9610.59,9769.83,9573.25,9674.01
2020/2/22,9674.01,9728.07,9574.17,9697.32
2020/2/23,9698.39,10023.31,9665.13,9885.42
2020/2/24,9885.42,10022.71,9489.13,9606.78
2020/2/25,9606.78,9678.76,9245.46,9383.9
2020/2/26,9383.9,9425.64,8640.3,8747.24
2020/2/27,8747.24,8972.79,8524.21,8757.31
2020/2/28,8757.31,8899.43,8438.05,8671.27
2020/2/29,8671.27,8810.07,8587.74,8633.36
2020/3/1,8633.36,8755.9,8410.63,8512.54
2020/3/2,8512.55,8951,8489.89,8945.93
2020/3/3,8945.93,8981.54,8664.5,8738.3
2020/3/4,8738.3,8851.7,8673.52,8732.24
